"","description","color","variety","country","id"
"49479","Piccini's nod to the '90s (the other wines are fairly traditional) is this internationally styled “mini Tuscan” that blends ripe plum fruit with the chocolate and vanilla flavors imparted by oak.","Red","Sangiovese","Italy",49479
"102161","This wine is structured and firm, with some bitterness. Acidity and red-currant fruits bring out the freshness of the year while still needing time to develop. The wine is concentrated and tight at the end. It will take time to be ready, so don't drink before 2022.","Red","Pinot Noir","France",102161
"61189","Even in a challenging year like the cool and rainy 2014 vintage, this dynamic firm has made a stunning sparkler thanks to rigorous grape selection. Refermented in the bottle, it offers aromas and flavors of white spring flowers, lemon-lime, green apple and peach. Vibrant acidity and a foaming mousse offset the linear palate while a mineral note backs up the finish.","White","Glera","Italy",61189
"43709","Made with ripe Nero d'Avola grapes, this inky red wine offers density, richness and milky aromas of chocolate, blueberry and creamy berry. There's a touch of bitter spice on the close and the wine tastes chewy and soft.","Red","Nero d'Avola","Italy",43709
"62581","Aromas of white wild flower and chamomile float out of the glass along with a whiff of orchard fruit. The ripe round palate offers juicy Bartlett pear, golden apple and peach. A note of bitter almond wraps up the finish.","White","Garganega","Italy",62581
"105801","Holding 65% Cabernet Sauvignon, 25% Cabernet Franc and 10% Merlot, this wine offers brooding aromas of fresh herbs, cherry, mocha and vanilla. The palate displays pleasing density and weight to the cranberry and cherry flavors that are accented by bright, zippy acidity.","Red","Bordeaux-style Red Blend","US",105801
"65382","Yering Station makes a regular Chardonnay and a Reserve Chardonnay as well; this is its entry-level Chard, and quite a good one. Bright pineapple notes and a hint of grilled fruit are clean and fresh if somewhat straightforward in this medium-bodied wine. Drink now.","White","Chardonnay","Australia",65382
"50689","Aged for 18 months in 100% new Virginia oak, this hefty blend of 60% Cabernet Sauvignon and 40% Tannat has a deep, bass-like nose that mixes scents of caramel, mocha and cinnamon with notes of potpourri, dark cherry and gravel. It feels fleshy and full on the palate, with chewy tannins, stunning acids and a bold, well-stated finish.","Red","Red Blend","US",50689
"17919","Fresh fruit and lively raspberry juice flavors are totally up to the minute. The attractive orange-pink color emphasizes the ripe character of the wine's fruitiness.","Rosé","Rosé","France",17919
"16549","Pietramora Riserva is a dark and masculine wine with aromas of blackberry, black cherry and plum backed by soft renderings of spice, rum cake and leather. The wine shows nice density that is filling without being heavy.","Red","Sangiovese","Italy",16549
